Yaw: 0, Pitch: 0.125, Roll: 1.625, ax: -0.0334513, ay: 0, accel_signed: 0
Yaw: 0, Pitch: 0.125, Roll: 1.625, ax: -0.0466838, ay: 0.00724101, accel_signed: 0
Yaw: 0, Pitch: 0.125, Roll: 1.625, ax: -0.047583, ay: 0.00527751, accel_signed: 0
Yaw: 0, Pitch: 0.125, Roll: 1.625, ax: -0.0481135, ay: 0.00411931, accel_signed: 0
Yaw: 0, Pitch: 0.125, Roll: 1.625, ax: -0.0484656, ay: 0.00148416, accel_signed: 0
Yaw: 0, Pitch: 0.125, Roll: 1.625, ax: -0.0470745, ay: -0.00368941, accel_signed: 0
Yaw: 0, Pitch: 0.125, Roll: 1.625, ax: -0.0460243, ay: -0.00462619, accel_signed: 0
Yaw: 0, Pitch: 0.125, Roll: 1.625, ax: -0.052039, ay: -0.00399345, accel_signed: -0.0514553
Yaw: 0, Pitch: 0.125, Roll: 1.625, ax: -0.0517781, ay: -0.00348233, accel_signed: -0.0512422
Yaw: 0.0625, Pitch: 0.125, Roll: 1.625, ax: -0.0709635, ay: -0.0163983, accel_signed: -0.0691902
Yaw: 0.0625, Pitch: 0.375, Roll: 1.6875, ax: 0.433867, ay: -0.163011, accel_signed: 0.446829
Yaw: 0, Pitch: 0.3125, Roll: 1.5, ax: 0.45358, ay: -0.151481, accel_signed: 0.465538
Yaw: 0, Pitch: 0.25, Roll: 1.4375, ax: 0.43689, ay: -0.180662, accel_signed: 0.451589
Yaw: -0.0625, Pitch: 0.25, Roll: 1.4375, ax: 0.382057, ay: -0.12755, accel_signed: 0.392225
Yaw: -0.3125, Pitch: 0.1875, Roll: 1.5, ax: 0.322558, ay: -0.150687, accel_signed: 0.335645
Yaw: -0.625, Pitch: -0.0625, Roll: 1.5625, ax: 0.198462, ay: -0.181319, accel_signed: 0.21598
Yaw: -0.875, Pitch: -0.0625, Roll: 1.5, ax: 0.0481342, ay: -0.150887, accel_signed: 0.0639588
Yaw: -1.1875, Pitch: 0, Roll: 1.5625, ax: 0.0133533, ay: -0.145803, accel_signed: 0
Yaw: -1.4375, Pitch: 0.0625, Roll: 1.5, ax: 0.0150017, ay: -0.118492, accel_signed: 0
Yaw: -1.8125, Pitch: 0.125, Roll: 1.5, ax: 0.160985, ay: 0.0101397, accel_signed: 0.158517
Yaw: -2.125, Pitch: 0.1875, Roll: 1.4375, ax: 0.0201697, ay: -0.048507, accel_signed: 0
Yaw: -2.4375, Pitch: 0.125, Roll: 1.4375, ax: -0.0819553, ay: -0.0379551, accel_signed: -0.0761415
Yaw: -2.75, Pitch: 0.25, Roll: 1.4375, ax: 0.0625533, ay: -0.0807709, accel_signed: 0.0731856
Yaw: -2.9375, Pitch: 0.25, Roll: 1.375, ax: 0.0497563, ay: -0.0671806, accel_signed: 0.0588165
Yaw: -3.0625, Pitch: 0.375, Roll: 1.4375, ax: 0.0208946, ay: -0.127148, accel_signed: 0
Yaw: -3.125, Pitch: 0.3125, Roll: 1.375, ax: 0.0688451, ay: -0.0630532, accel_signed: 0.0772947
Yaw: -3.125, Pitch: 0.3125, Roll: 1.375, ax: 0.167733, ay: -0.0176872, accel_signed: 0.168521
Yaw: -3, Pitch: 0.3125, Roll: 1.4375, ax: -0.0408053, ay: -0.0380182, accel_signed: 0
Yaw: -2.75, Pitch: 0.3125, Roll: 1.5, ax: -0.0541185, ay: -0.0123838, accel_signed: -0.0518683
Yaw: -2.5625, Pitch: 0.375, Roll: 1.4375, ax: -0.200872, ay: -0.0627975, accel_signed: -0.190471
Yaw: -2.3125, Pitch: 0.5, Roll: 1.375, ax: 0.0273914, ay: -0.0959459, accel_signed: 0
Yaw: -2.0625, Pitch: 0.5, Roll: 1.3125, ax: -0.0315137, ay: 0.0668178, accel_signed: 0
Yaw: -1.6875, Pitch: 0.625, Roll: 1.3125, ax: -0.0590232, ay: -0.0358653, accel_signed: -0.054259
Yaw: -1.4375, Pitch: 0.75, Roll: 1.3125, ax: -0.138228, ay: -0.0324468, accel_signed: -0.133509
Yaw: -1.1875, Pitch: 0.75, Roll: 1.375, ax: -0.201283, ay: -0.096052, accel_signed: -0.189244
Yaw: -0.9375, Pitch: 0.6875, Roll: 1.3125, ax: -0.249739, ay: -0.0564219, accel_signed: -0.242203
Yaw: -0.6875, Pitch: 0.75, Roll: 1.3125, ax: -0.28119, ay: -0.000577167, accel_signed: -0.279622
Yaw: -0.5625, Pitch: 0.8125, Roll: 1.3125, ax: -0.312496, ay: 0.0432747, accel_signed: -0.315272
Yaw: -0.4375, Pitch: 0.75, Roll: 1.3125, ax: -0.329394, ay: -0.0331931, accel_signed: -0.324483
Yaw: -0.375, Pitch: 0.75, Roll: 1.3125, ax: -0.525527, ay: -0.151867, accel_signed: -0.508111
Yaw: -0.375, Pitch: 0.5625, Roll: 1.375, ax: -0.315623, ay: -0.116476, accel_signed: -0.302686
Yaw: -0.3125, Pitch: 0.5625, Roll: 1.4375, ax: -0.288442, ay: -0.117763, accel_signed: -0.275669
Yaw: -0.3125, Pitch: 0.5, Roll: 1.4375, ax: -0.308573, ay: -0.0713491, accel_signed: -0.300204
Yaw: -0.3125, Pitch: 0.5, Roll: 1.375, ax: -0.331545, ay: -0.0845418, accel_signed: -0.321789
Yaw: -0.3125, Pitch: 0.375, Roll: 1.3125, ax: -0.341864, ay: -0.169741, accel_signed: -0.323801
Yaw: -0.4375, Pitch: 0.4375, Roll: 1.3125, ax: -0.276039, ay: -0.160252, accel_signed: -0.258798
Yaw: -0.5, Pitch: 0.5, Roll: 1.3125, ax: -0.327791, ay: -0.177353, accel_signed: -0.308373
Yaw: -0.5625, Pitch: 0.5, Roll: 1.3125, ax: -0.347028, ay: -0.122425, accel_signed: -0.332845
Yaw: -0.625, Pitch: 0.4375, Roll: 1.375, ax: -0.294987, ay: -0.178324, accel_signed: -0.275185
Yaw: -0.75, Pitch: 0.5625, Roll: 1.375, ax: -0.237433, ay: -0.142333, accel_signed: -0.221254
Yaw: -0.875, Pitch: 0.5, Roll: 1.375, ax: -0.277632, ay: -0.208703, accel_signed: -0.253779
Yaw: -1, Pitch: 0.4375, Roll: 1.3125, ax: -0.320666, ay: -0.181239, accel_signed: -0.299029
Yaw: -1.125, Pitch: 0.4375, Roll: 1.375, ax: -0.271136, ay: -0.207757, accel_signed: -0.246391
