time,vx,ay,yaw_rate,steering_angle
0.000015,0.000000,0.000000,0.000000,0.000000
0.032854,0.000000,0.050177,0.000000,0.000000
0.065473,0.000000,0.050177,0.000000,0.000000
0.096823,0.000000,0.068215,-0.062500,0.000000
0.127008,0.000000,0.076834,-0.062500,0.000000
0.157156,0.000000,0.079724,-0.062500,0.000000
0.187682,0.000000,0.081642,-0.125000,0.000000
0.217847,0.000000,0.089588,-0.125000,0.000000
0.247996,0.000000,0.094102,-0.125000,0.000000
0.278128,0.000000,0.092174,-0.062500,0.000000
0.308267,0.000000,0.092174,-0.062500,0.000000
0.338415,0.000000,0.097015,-0.125000,0.000000
0.369756,0.000000,0.096164,-0.187500,0.000000
0.399908,0.000000,0.093129,-0.062500,0.000000
0.430045,0.000000,0.097255,-0.062500,0.000000
0.460285,0.000000,0.098640,-0.062500,0.000000
0.490509,0.000000,0.096663,-0.062500,0.000000
0.520708,0.000000,0.102210,-0.062500,1.000000
0.552320,0.000000,0.102210,-0.062500,1.000000
0.582472,0.000000,0.103008,0.000000,1.000000
0.612622,0.000000,0.101694,-0.250000,1.000000
0.642785,0.000000,0.103523,-0.187500,1.000000
0.672964,0.000000,0.104164,-0.062500,1.000000
0.703145,0.000000,0.102772,0.125000,1.000000
0.733291,0.000000,0.104455,-0.187500,1.000000
0.763447,0.000000,0.104995,0.062500,1.000000
0.793605,0.000000,0.104995,0.062500,1.000000
0.823765,0.000000,0.108385,-0.062500,1.000000
0.853914,0.000000,0.108541,0.062500,1.000000
0.884075,0.000000,0.107719,-0.062500,1.000000
0.914251,0.000000,0.108899,-0.062500,1.000000
0.944348,0.000000,0.110922,-0.062500,1.000000
0.974676,0.000000,0.107961,0.062500,1.000000
1.004836,0.000000,0.111982,-0.062500,1.000000
1.034989,0.000000,0.111982,-0.062500,1.000000
1.065155,0.000000,0.108926,0.000000,1.000000
1.095323,0.000000,0.108074,0.000000,1.000000
1.125476,0.000000,0.109212,0.062500,1.000000
1.155785,0.000000,0.108333,0.000000,1.000000
1.185938,0.000000,0.106586,-0.125000,1.000000
1.216195,0.000000,0.106586,-0.125000,1.000000
1.246482,0.000000,0.106911,0.000000,1.000000
1.276681,0.000000,0.110063,0.062500,1.000000
1.309479,0.000000,0.108152,0.000000,1.000000
1.339708,0.000000,0.105472,0.000000,1.000000
1.370347,0.000000,0.108759,0.000000,1.000000
1.400854,0.000000,0.108759,0.000000,1.000000
1.431006,0.000000,0.107925,-0.062500,1.000000
1.461213,0.000000,0.107171,0.062500,1.000000
1.491406,0.000000,0.110295,-0.062500,1.000000
1.522371,0.000000,0.108364,-0.062500,1.000000
1.553218,0.000000,0.111374,-0.125000,1.000000
1.583469,0.000000,0.113146,0.062500,1.000000
